transcript.id	024_B2	074_B2	090_subseq	146_B1	153_B3	258_B3
TRINITY_DN143018_c49_g12_i1	0	0	0	0	1	58
TRINITY_DN141904_c4_g1_i1	0	0	0	0	41	1
TRINITY_DN851511_c0_g1_i1	0	0	0	0	35	4
TRINITY_DN125192_c2_g1_i1	0	0	0	1	0	29
TRINITY_DN144483_c7_g1_i1	0	0	0	0	19	10
TRINITY_DN144624_c4_g1_i1	0	0	0	14	0	14
TRINITY_DN144187_c0_g1_i10	0	0	0	21	0	4
TRINITY_DN144555_c1_g1_i8	0	0	0	1	0	24
TRINITY_DN144119_c3_g1_i2	0	0	0	0	8	17
TRINITY_DN140586_c3_g1_i1	0	0	0	1	0	19
TRINITY_DN145575_c0_g1_i3	0	0	0	11	0	7
TRINITY_DN142823_c1_g1_i2	0	0	0	0	13	4
TRINITY_DN141973_c7_g1_i4	0	0	0	2	0	14
TRINITY_DN141840_c6_g1_i2	0	0	0	2	0	14
TRINITY_DN141142_c7_g8_i1	0	0	0	1	0	11
TRINITY_DN134643_c0_g1_i1	0	0	0	10	0	1
TRINITY_DN143018_c44_g10_i2	0	0	0	0	1	9
TRINITY_DN141713_c1_g2_i1	0	0	0	0	7	2
TRINITY_DN142544_c1_g1_i1	0	0	0	1	0	8
TRINITY_DN136903_c2_g1_i6	0	0	0	5	0	3
TRINITY_DN144608_c1_g1_i5	0	0	0	7	0	1
TRINITY_DN135288_c5_g1_i3	0	0	0	6	0	1
TRINITY_DN131100_c0_g1_i5	0	0	0	3	0	4
TRINITY_DN143165_c1_g1_i4	0	0	0	6	0	1
TRINITY_DN144422_c2_g1_i2	0	0	0	1	4	0
TRINITY_DN102902_c0_g1_i1	0	0	0	3	0	1
TRINITY_DN142116_c1_g1_i3	0	0	0	3	0	1
TRINITY_DN143715_c2_g2_i3	0	0	0	3	1	0
TRINITY_DN136922_c1_g3_i3	0	0	0	2	0	2
TRINITY_DN131424_c0_g1_i4	0	0	0	3	0	1
TRINITY_DN141259_c3_g4_i1	0	0	0	1	0	2
TRINITY_DN131740_c0_g1_i1	0	0	0	1	0	2
TRINITY_DN140755_c12_g6_i2	0	0	0	1	0	2
TRINITY_DN141805_c2_g2_i2	0	0	0	1	0	2
TRINITY_DN144097_c8_g2_i5	0	0	0	1	0	1
TRINITY_DN143590_c3_g1_i4	0	0	0	1	0	1
